rank,score,priority,sla_hours,owner,product,scanner,title,severity,cve,cwe,endpoint,parameter,epss_score,epss_percentile,epss_trend,kev,kev_date,exploit_available,exploit_source,escalation_potential,package,fixed_version,description,remediation_summary
1,44.0,P3,168,appsec-web,juice_shop,trivy,glibc: glibc: Heap Buffer Overflow in `scanf` with `%mc` format specifier and large width,medium,CVE-2026-5450,CWE-122,bkimminich/juice-shop:latest (debian 13.6),,,,,False,,False,,0.0,libc6,,Calling the scanf family of functions with a %mc (malloc'd character match) in the GNU C Library version 2.7 to version 2.43 with a format width specifier with an explicit width greater than 1024 could result in a one byte heap buffer overflow.,"[first_aid] Disable or restrict the affected functionality/endpoint at the perimeter (WAF rule, network ACL, feature flag) while the | [full_remediation] Patch or upgrade the affected component to the latest fixed version and re-run the scan to confirm the finding is gone. | [scanner_guidance] glibc: glibc: Heap Buffer Overflow in `scanf` with `%mc` format specifier and large width"
2,44.0,P3,168,appsec-web,juice_shop,trivy,glibc: stack guard protection bypass,low,CVE-2019-1010022,CWE-119,bkimminich/juice-shop:latest (debian 13.6),,,,,False,,False,,0.0,libc6,,"GNU Libc current is affected by: Mitigation bypass. The impact is: Attacker may bypass stack guard protection. The component is: nptl. The attack vector is: Exploit stack buffer overflow vulnerability and use this bypass vulnerability to bypass stack guard. NOTE: Upstream comments indicate ""this is being treated as a non-security bug and no real threat.","[first_aid] Disable or restrict the affected functionality/endpoint at the perimeter (WAF rule, network ACL, feature flag) while the | [full_remediation] Patch or upgrade the affected component to the latest fixed version and re-run the scan to confirm the finding is gone. | [scanner_guidance] glibc: stack guard protection bypass"
3,44.0,P3,168,appsec-web,juice_shop,trivy,nodejs-jsonwebtoken: verification step bypass with an altered token,critical,CVE-2015-9235,CWE-20,Node.js,,,,,False,,False,,0.0,jsonwebtoken,4.2.2,In jsonwebtoken node module before 4.2.2 it is possible for an attacker to bypass verification when a token digitally signed with an asymmetric key (RS/ES family) of algorithms but instead the attacker send a token digitally signed with a symmetric algorithm (HS* family).,"[first_aid] Apply the vendor security patch for CVE-2015-9235; if unavailable, isolate the container and restrict egress. | [full_remediation] Upgrade package jsonwebtoken from 0.1.0 to 4.2.2 (fixed version) in the image and rebuild/redeploy. | [scanner_guidance] Upgrade jsonwebtoken from 0.1.0 to 4.2.2"
4,44.0,P3,168,appsec-web,juice_shop,trivy,undici: Undici: HTTP Request Smuggling and Denial of Service due to duplicate Content-Length headers,medium,CVE-2026-1525,CWE-444,Node.js,,,,,False,,False,,0.0,undici,"6.24.0, 7.24.0","Undici allows duplicate HTTP Content-Length headers when they are provided in an array with case-variant names (e.g., Content-Length and content-length). This produces malformed HTTP/1.1 requests with multiple conflicting Content-Length values on the wire.

Who is impacted:

  *  Applications using undici.request(), undici.Client, or similar low-level APIs with headers passed as flat arrays
  *  Applications that accept user-controlled header names without case-normalization


Potential consequences:

  *  Denial of Service: Strict HTTP parsers (proxies, servers) will reject requests with duplicate Content-Length headers (400 Bad Request)
  *  HTTP Request Smuggling: In deployments where an intermediary and backend interpret duplicate headers inconsistently (e.g., one uses the first value, the other uses the last), this can enable request smuggling attacks leading to ACL bypass, cache poisoning, or credential hijacking","[first_aid] Apply the vendor security patch for CVE-2026-1525; if unavailable, isolate the container and restrict egress. | [full_remediation] Upgrade package undici from 5.29.0 to 6.24.0, 7.24.0 (fixed version) in the image and rebuild/redeploy. | [scanner_guidance] Upgrade undici from 5.29.0 to 6.24.0, 7.24.0"
5,43.3,P3,168,appsec-web,juice_shop,trivy,Command Injection in marsdb,critical,GHSA-5mrr-rgp6-x4gr,,Node.js,,,,,False,,False,,,marsdb,,"All versions of `marsdb` are vulnerable to Command Injection. In the `DocumentMatcher` class, selectors on `$where` clauses are passed to a Function constructor unsanitized. This allows attackers to run arbitrary commands in the system when the function is executed.


## Recommendation

No fix is currently available. Consider using an alternative package until a fix is made available.","[first_aid] Disable or restrict the affected functionality/endpoint at the perimeter (WAF rule, network ACL, feature flag) while the | [full_remediation] Patch or upgrade the affected component to the latest fixed version and re-run the scan to confirm the finding is gone. | [scanner_guidance] Command Injection in marsdb"
6,42.2,P3,168,appsec-web,juice_shop,trivy,"crypto-js: PBKDF2 1,000 times weaker than specified in 1993 and 1.3M times weaker than current standard",critical,CVE-2023-46233,CWE-328,Node.js,,,,,False,,False,,0.0,crypto-js,4.2.0,"crypto-js is a JavaScript library of crypto standards. Prior to version 4.2.0, crypto-js PBKDF2 is 1,000 times weaker than originally specified in 1993, and at least 1,300,000 times weaker than current industry standard. This is because it both defaults to SHA1, a cryptographic hash algorithm considered insecure since at least 2005, and defaults to one single iteration, a 'strength' or 'difficulty' value specified at 1,000 when specified in 1993. PBKDF2 relies on iteration count as a countermeasure to preimage and collision attacks. If used to protect passwords, the impact is high. If used to generate signatures, the impact is high. Version 4.2.0 contains a patch for this issue. As a workaround, configure crypto-js to use SHA256 with at least 250,000 iterations.","[first_aid] Apply the vendor security patch for CVE-2023-46233; if unavailable, isolate the container and restrict egress. | [full_remediation] Upgrade package crypto-js from 3.3.0 to 4.2.0 (fixed version) in the image and rebuild/redeploy. | [scanner_guidance] Upgrade crypto-js from 3.3.0 to 4.2.0"
7,42.2,P3,168,appsec-web,juice_shop,trivy,crypto-js is a JavaScript library of crypto standards. Versions of cry ...,critical,CVE-2026-71851,CWE-331,Node.js,,,,,False,,False,,0.0,crypto-js,4.0.0,"crypto-js is a JavaScript library of crypto standards. Versions of crypto-js prior to 4.0.0 generate randomness in CryptoJS.lib.WordArray.random() using a custom variation of the Multiply-With-Carry pseudorandom number generator, seeded from Math.random(), instead of a cryptographically secure source. This generator was introduced in version 3.1.2-4 and remained present in nearly every 3.x release. Nominal requests for 128 or 256 bits of entropy through this function produce effective search spaces of approximately 2 to the 39th and 2 to the 47th possibilities, small enough to enumerate on commodity hardware. Downstream wallet applications that used CryptoJS.lib.WordArray.random() as the entropy source for BIP39 recovery phrases are affected, and an attacker who enumerates the reduced output space can recover the resulting private keys and control the associated funds. This issue is fixed in version 4.0.0.","[first_aid] Apply the vendor security patch for CVE-2026-71851; if unavailable, isolate the container and restrict egress. | [full_remediation] Upgrade package crypto-js from 3.3.0 to 4.0.0 (fixed version) in the image and rebuild/redeploy. | [scanner_guidance] Upgrade crypto-js from 3.3.0 to 4.0.0"
8,42.2,P3,168,appsec-web,juice_shop,trivy,decompress: @xhmikosr/decompress: Decompress: Arbitrary file read/write via crafted archive extraction,critical,CVE-2026-53486,CWE-22,Node.js,,,,,False,,False,,0.798,decompress,,"The decompress package for Node.js extracts archives. Prior to 10.2.1 and 11.1.3, archive extraction can create files and links outside the target directory. When extracting an archive to a directory, a crafted archive can read or write files outside that directory because hardlink and symlink entries are created without checking where targets point, path containment used a string prefix comparison, and file modes failed to remove setuid, setgid, or sticky bits. This issue is fixed in @xhmikosr/decompress versions 10.2.1 and 11.1.3.",[first_aid] Block traversal patterns at the WAF and disable symbolic links on the webroot. | [full_remediation] Use an allow-listed file API and canonicalize paths before access; never join user input into filesystem paths. | [scanner_guidance] decompress: @xhmikosr/decompress: Decompress: Arbitrary file read/write via crafted archive extraction
9,42.2,P3,168,appsec-web,juice_shop,trivy,nodejs-lodash: prototype pollution in defaultsDeep function leading to modifying properties,critical,CVE-2019-10744,CWE-1321,Node.js,,,,,False,,False,,0.0,lodash,4.17.12,Versions of lodash lower than 4.17.12 are vulnerable to Prototype Pollution. The function defaultsDeep could be tricked into adding or modifying properties of Object.prototype using a constructor payload.,"[first_aid] Apply the vendor security patch for CVE-2019-10744; if unavailable, isolate the container and restrict egress. | [full_remediation] Upgrade package lodash from 2.4.2 to 4.17.12 (fixed version) in the image and rebuild/redeploy. | [scanner_guidance] Upgrade lodash from 2.4.2 to 4.17.12"
10,41.2,P3,168,appsec-web,juice_shop,trivy,Forgeable Public/Private Tokens,high,CVE-2016-1000223,,Node.js,,,,,False,,False,,,jws,>=3.0.0,"Since ""algorithm"" isn't enforced in `jws.verify()`, a malicious user could choose what algorithm is sent to the server. If the server is expecting RSA but is sent HMAC-SHA with RSA's public key, the server will think the public key is actually an HMAC private key. This could be used to forge any data an attacker wants.

In addition, there is the `none` algorithm to be concerned about.  In versions prior to 3.0.0, verification of the token could be bypassed when the `alg` field is set to `none`.

*Edit ( 7/29/16 ): A previous version of this advisory incorrectly stated that the vulnerability was patched in version 2.0.0 instead of 3.0.0. The advisory has been updated to reflect this new information. Thanks to Fabien Catteau for reporting the error.*","[first_aid] Apply the vendor security patch for CVE-2016-1000223; if unavailable, isolate the container and restrict egress. | [full_remediation] Upgrade package jws from 0.2.6 to >=3.0.0 (fixed version) in the image and rebuild/redeploy. | [scanner_guidance] Upgrade jws from 0.2.6 to >=3.0.0"
